name,delta_m,theta_m,alpha_m,beta_m,gamma_m,delta_norm_m,theta_norm_m,alpha_norm_m,beta_norm_m,gamma_norm_m,delta_std,theta_std,alpha_std,beta_std,gamma_std,delta_norm_std,theta_norm_std,alpha_norm_std,beta_norm_std,gamma_norm_std,label
P01,8.46E-11,8.46E-11,8.46E-11,8.46E-11,8.46E-11,8.46E-11,8.46E-11,8.46E-11,8.46E-11,8.46E-11,7.22E-11,7.22E-11,7.22E-11,7.22E-11,7.22E-11,7.22E-11,7.22E-11,7.22E-11,7.22E-11,7.22E-11,P
P02,1.45E-10,1.45E-10,1.45E-10,1.45E-10,1.45E-10,1.45E-10,1.45E-10,1.45E-10,1.45E-10,1.45E-10,1.55E-10,1.55E-10,1.55E-10,1.55E-10,1.55E-10,1.55E-10,1.55E-10,1.55E-10,1.55E-10,1.55E-10,P
P03,1.48E-10,1.48E-10,1.48E-10,1.48E-10,1.48E-10,1.48E-10,1.48E-10,1.48E-10,1.48E-10,1.48E-10,7.46E-11,7.46E-11,7.46E-11,7.46E-11,7.46E-11,7.46E-11,7.46E-11,7.46E-11,7.46E-11,7.46E-11,P
P04,9.13E-11,9.13E-11,9.13E-11,9.13E-11,9.13E-11,9.13E-11,9.13E-11,9.13E-11,9.13E-11,9.13E-11,5.73E-11,5.73E-11,5.73E-11,5.73E-11,5.73E-11,5.73E-11,5.73E-11,5.73E-11,5.73E-11,5.73E-11,P
P05,1.81E-10,1.81E-10,1.81E-10,1.81E-10,1.81E-10,1.81E-10,1.81E-10,1.81E-10,1.81E-10,1.81E-10,8.61E-11,8.61E-11,8.61E-11,8.61E-11,8.61E-11,8.61E-11,8.61E-11,8.61E-11,8.61E-11,8.61E-11,P
P06,1.05E-10,1.05E-10,1.05E-10,1.05E-10,1.05E-10,1.05E-10,1.05E-10,1.05E-10,1.05E-10,1.05E-10,6.74E-11,6.74E-11,6.74E-11,6.74E-11,6.74E-11,6.74E-11,6.74E-11,6.74E-11,6.74E-11,6.74E-11,P
P07,1.41E-10,1.41E-10,1.41E-10,1.41E-10,1.41E-10,1.41E-10,1.41E-10,1.41E-10,1.41E-10,1.41E-10,7.03E-11,7.03E-11,7.03E-11,7.03E-11,7.03E-11,7.03E-11,7.03E-11,7.03E-11,7.03E-11,7.03E-11,P
P08,4.99E-11,4.99E-11,4.99E-11,4.99E-11,4.99E-11,4.99E-11,4.99E-11,4.99E-11,4.99E-11,4.99E-11,5.10E-11,5.10E-11,5.10E-11,5.10E-11,5.10E-11,5.10E-11,5.10E-11,5.10E-11,5.10E-11,5.10E-11,P
P09,2.07E-10,2.07E-10,2.07E-10,2.07E-10,2.07E-10,2.07E-10,2.07E-10,2.07E-10,2.07E-10,2.07E-10,1.56E-10,1.56E-10,1.56E-10,1.56E-10,1.56E-10,1.56E-10,1.56E-10,1.56E-10,1.56E-10,1.56E-10,P
P10,7.40E-11,7.40E-11,7.40E-11,7.40E-11,7.40E-11,7.40E-11,7.40E-11,7.40E-11,7.40E-11,7.40E-11,7.55E-11,7.55E-11,7.55E-11,7.55E-11,7.55E-11,7.55E-11,7.55E-11,7.55E-11,7.55E-11,7.55E-11,P
S01,5.53E-11,5.53E-11,5.53E-11,5.53E-11,5.53E-11,5.53E-11,5.53E-11,5.53E-11,5.53E-11,5.53E-11,2.50E-11,2.50E-11,2.50E-11,2.50E-11,2.50E-11,2.50E-11,2.50E-11,2.50E-11,2.50E-11,2.50E-11,S
S02,8.73E-11,8.73E-11,8.73E-11,8.73E-11,8.73E-11,8.73E-11,8.73E-11,8.73E-11,8.73E-11,8.73E-11,3.92E-11,3.92E-11,3.92E-11,3.92E-11,3.92E-11,3.92E-11,3.92E-11,3.92E-11,3.92E-11,3.92E-11,S
S04,9.82E-11,9.82E-11,9.82E-11,9.82E-11,9.82E-11,9.82E-11,9.82E-11,9.82E-11,9.82E-11,9.82E-11,4.14E-11,4.14E-11,4.14E-11,4.14E-11,4.14E-11,4.14E-11,4.14E-11,4.14E-11,4.14E-11,4.14E-11,S
S06,6.10E-11,6.10E-11,6.10E-11,6.10E-11,6.10E-11,6.10E-11,6.10E-11,6.10E-11,6.10E-11,6.10E-11,3.21E-11,3.21E-11,3.21E-11,3.21E-11,3.21E-11,3.21E-11,3.21E-11,3.21E-11,3.21E-11,3.21E-11,S
S07,7.73E-11,7.73E-11,7.73E-11,7.73E-11,7.73E-11,7.73E-11,7.73E-11,7.73E-11,7.73E-11,7.73E-11,4.07E-11,4.07E-11,4.07E-11,4.07E-11,4.07E-11,4.07E-11,4.07E-11,4.07E-11,4.07E-11,4.07E-11,S
S08,8.99E-11,8.99E-11,8.99E-11,8.99E-11,8.99E-11,8.99E-11,8.99E-11,8.99E-11,8.99E-11,8.99E-11,3.79E-11,3.79E-11,3.79E-11,3.79E-11,3.79E-11,3.79E-11,3.79E-11,3.79E-11,3.79E-11,3.79E-11,S
S09,2.03E-10,2.03E-10,2.03E-10,2.03E-10,2.03E-10,2.03E-10,2.03E-10,2.03E-10,2.03E-10,2.03E-10,2.29E-10,2.29E-10,2.29E-10,2.29E-10,2.29E-10,2.29E-10,2.29E-10,2.29E-10,2.29E-10,2.29E-10,S
S10,6.23E-11,6.23E-11,6.23E-11,6.23E-11,6.23E-11,6.23E-11,6.23E-11,6.23E-11,6.23E-11,6.23E-11,4.57E-11,4.57E-11,4.57E-11,4.57E-11,4.57E-11,4.57E-11,4.57E-11,4.57E-11,4.57E-11,4.57E-11,S
