Text1,Text2,score
love,sex,0.22
tiger,cat,0.45
tiger,tiger,1
book,paper,0.11
computer,keyboard,0.77
computer,internet,N/A
plane,car,0.03
train,car,0.33
telephone,communication,0.49
television,radio,0.76
media,radio,0.53
drug,abuse,0.8
bread,butter,0.77
cucumber,potato,0.39
doctor,nurse,0.52
professor,doctor,0.18
student,professor,0.16
smart,student,0.08
smart,stupid,0.53
company,stock,0.35
stock,market,0.41
stock,phone,0.03
stock,CD,0.1
stock,jaguar,-0.03
stock,egg,-0.01
fertility,egg,0.23
stock,live,0.03
stock,life,0.03
book,library,0.74
bank,money,0.33
wood,forest,0.25
money,cash,0.22
professor,cucumber,0.04
king,cabbage,0.01
king,queen,0.77
king,rook,N/A
bishop,rabbi,0.21
Jerusalem,Israel,0.8
Jerusalem,Palestinian,0.75
holy,sex,0
fuck,sex,0.21
Maradona,football,N/A
football,soccer,0.87
football,basketball,0.92
football,tennis,0.72
tennis,racket,0.56
Arafat,peace,N/A
Arafat,terror,N/A
Arafat,Jackson,N/A
law,lawyer,0.48
movie,star,0.22
movie,popcorn,0.31
movie,critic,0.09
movie,theater,0.58
physics,proton,0.14
physics,chemistry,0.65
space,chemistry,0.14
alcohol,chemistry,0.07
vodka,gin,0.43
vodka,brandy,0.61
drink,car,0.06
drink,ear,0.01
drink,mouth,0.14
drink,eat,0.31
baby,mother,0.54
drink,mother,0.12
car,automobile,0.6
gem,jewel,0.21
journey,voyage,0.43
boy,lad,0.43
coast,shore,0.4
asylum,madhouse,0.12
magician,wizard,0.29
midday,noon,0.59
furnace,stove,0.28
food,fruit,0.39
bird,cock,0.38
bird,crane,0.31
tool,implement,0.13
brother,monk,0.03
crane,implement,-0.05
lad,brother,0.24
journey,car,0.1
monk,oracle,0.06
cemetery,woodland,-0.01
food,rooster,0.03
coast,hill,0.05
forest,graveyard,-0.01
shore,woodland,0.14
monk,slave,-0.02
coast,forest,0.14
lad,wizard,0.2
chord,smile,0.05
glass,magician,0.14
noon,string,0.09
rooster,voyage,0.01
money,dollar,0.65
money,cash,0.22
money,currency,0.57
money,wealth,0.27
money,property,0.16
money,possession,0.12
money,bank,0.33
money,deposit,0.31
money,withdrawal,0.08
money,laundering,0.06
money,operation,0.1
tiger,jaguar,0.19
tiger,feline,0.23
tiger,carnivore,0.1
tiger,mammal,0.1
tiger,animal,0.35
tiger,organism,0.01
tiger,fauna,0.16
tiger,zoo,0.42
psychology,psychiatry,0.48
psychology,anxiety,0.31
psychology,fear,0.13
psychology,depression,0.12
psychology,clinic,0.16
psychology,doctor,0.02
psychology,Freud,0.5
psychology,mind,0.23
psychology,health,0.02
psychology,science,0.4
psychology,discipline,0.53
psychology,cognition,0.58
planet,star,0.28
planet,constellation,-0.01
planet,moon,0.26
planet,sun,0.47
planet,galaxy,0.46
planet,space,0.42
planet,astronomer,0.61
precedent,example,0.15
precedent,information,0.02
precedent,cognition,0
precedent,law,0.6
precedent,collection,0.14
precedent,group,0.06
precedent,antecedent,0.03
cup,coffee,0.68
cup,tableware,0.13
cup,article,0.02
cup,artifact,0.01
cup,object,0.13
cup,entity,0.03
cup,drink,0.4
cup,food,0.15
cup,substance,0.11
cup,liquid,0.21
jaguar,cat,0.09
jaguar,car,0.14
energy,secretary,0.02
secretary,senate,0.3
energy,laboratory,0.09
computer,laboratory,0.06
weapon,secret,0.39
FBI,fingerprint,0.23
FBI,investigation,0.57
investigation,effort,0.19
Mars,water,0.07
